 xy plane atoms Angle info
                    2                   41                   43  -1.00000000000000000000000000000000019      
                    6                   45                   47  -1.00000000000000000000000000000000019      
                   10                   49                   51  -1.00000000000000000000000000000000019      
                   14                   53                   55  -1.00000000000000000000000000000000019      
                   18                   57                   59  -1.00000000000000000000000000000000019      
                   22                   61                   63  -1.00000000000000000000000000000000019      
                   26                   65                   67  -1.00000000000000000000000000000000019      
                   30                   69                   71  -1.00000000000000000000000000000000019      
                   34                   73                   75  -1.00000000000000000000000000000000019      
                   38                   77                   79  -1.00000000000000000000000000000000019      
                   41                    1                    1  -1.00000000000000000000000000000000019      
                   42                    2                    2  -1.00000000000000000000000000000000019      
                   43                    3                    3  -1.00000000000000000000000000000000019      
                   44                    4                    4  -1.00000000000000000000000000000000019      
                   45                    5                    5  -1.00000000000000000000000000000000019      
                   46                    6                    6  -1.00000000000000000000000000000000019      
                   47                    7                    7  -1.00000000000000000000000000000000019      
                   48                    8                    8  -1.00000000000000000000000000000000019      
                   49                    9                    9  -1.00000000000000000000000000000000019      
                   50                   10                   10  -1.00000000000000000000000000000000019      
                   51                   11                   11  -1.00000000000000000000000000000000019      
                   52                   12                   12  -1.00000000000000000000000000000000019      
                   53                   13                   13  -1.00000000000000000000000000000000019      
                   54                   14                   14  -1.00000000000000000000000000000000019      
                   55                   15                   15  -1.00000000000000000000000000000000019      
                   56                   16                   16  -1.00000000000000000000000000000000019      
                   57                   17                   17  -1.00000000000000000000000000000000019      
                   58                   18                   18  -1.00000000000000000000000000000000019      
                   59                   19                   19  -1.00000000000000000000000000000000019      
                   60                   20                   20  -1.00000000000000000000000000000000019      
                   61                   21                   21  -1.00000000000000000000000000000000019      
                   62                   22                   22  -1.00000000000000000000000000000000019      
                   63                   23                   23  -1.00000000000000000000000000000000019      
                   64                   24                   24  -1.00000000000000000000000000000000019      
                   65                   25                   25  -1.00000000000000000000000000000000019      
                   66                   26                   26  -1.00000000000000000000000000000000019      
                   67                   27                   27  -1.00000000000000000000000000000000019      
                   68                   28                   28  -1.00000000000000000000000000000000019      
                   69                   29                   29  -1.00000000000000000000000000000000019      
                   70                   30                   30  -1.00000000000000000000000000000000019      
                   71                   31                   31  -1.00000000000000000000000000000000019      
                   72                   32                   32  -1.00000000000000000000000000000000019      
                   73                   33                   33  -1.00000000000000000000000000000000019      
                   74                   34                   34  -1.00000000000000000000000000000000019      
                   75                   35                   35  -1.00000000000000000000000000000000019      
                   76                   36                   36  -1.00000000000000000000000000000000019      
                   77                   37                   37  -1.00000000000000000000000000000000019      
                   78                   38                   38  -1.00000000000000000000000000000000019      
                   79                   39                   39  -1.00000000000000000000000000000000019      
                   80                   40                   40  -1.00000000000000000000000000000000019      
                    1                   42                   44  -1.00000000000000000000000000000000019      
                    3                   44                   42  -1.00000000000000000000000000000000019      
                    4                   43                   41  -1.00000000000000000000000000000000019      
                    5                   46                   48  -1.00000000000000000000000000000000019      
                    7                   48                   46  -1.00000000000000000000000000000000019      
                    8                   47                   45  -1.00000000000000000000000000000000019      
                    9                   50                   52  -1.00000000000000000000000000000000019      
                   11                   52                   50  -1.00000000000000000000000000000000019      
                   12                   51                   49  -1.00000000000000000000000000000000019      
                   13                   54                   56  -1.00000000000000000000000000000000019      
                   15                   56                   54  -1.00000000000000000000000000000000019      
                   16                   55                   53  -1.00000000000000000000000000000000019      
