 ***** O atoms along axis *****
                    1                   33                   33  -1.00000000000000000000000000000000000      
                    2                   34                   34  -1.00000000000000000000000000000000000      
                    3                   35                   35  -1.00000000000000000000000000000000000      
                    4                   36                   36  -1.00000000000000000000000000000000000      
                    5                   37                   37  -1.00000000000000000000000000000000000      
                    6                   38                   38  -1.00000000000000000000000000000000000      
                    7                   39                   39  -1.00000000000000000000000000000000000      
                    8                   40                   40  -1.00000000000000000000000000000000000      
                    9                   41                   41  -1.00000000000000000000000000000000000      
                   10                   42                   42  -1.00000000000000000000000000000000000      
                   11                   43                   43  -1.00000000000000000000000000000000000      
                   12                   44                   44  -1.00000000000000000000000000000000000      
                   13                   45                   45  -1.00000000000000000000000000000000000      
                   14                   46                   46  -1.00000000000000000000000000000000000      
                   15                   47                   47  -1.00000000000000000000000000000000000      
                   16                   48                   48  -1.00000000000000000000000000000000000      
                   17                   49                   49  -1.00000000000000000000000000000000000      
                   18                   50                   50  -1.00000000000000000000000000000000000      
                   19                   51                   51  -1.00000000000000000000000000000000000      
                   20                   52                   52  -1.00000000000000000000000000000000000      
                   21                   53                   53  -1.00000000000000000000000000000000000      
                   22                   54                   54  -1.00000000000000000000000000000000000      
                   23                   55                   55  -1.00000000000000000000000000000000000      
                   24                   56                   56  -1.00000000000000000000000000000000000      
                   25                   57                   57  -1.00000000000000000000000000000000000      
                   26                   58                   58  -1.00000000000000000000000000000000000      
                   27                   59                   59  -1.00000000000000000000000000000000000      
                   28                   60                   60  -1.00000000000000000000000000000000000      
                   29                   61                   61  -1.00000000000000000000000000000000000      
                   30                   62                   62  -1.00000000000000000000000000000000000      
                   31                   63                   63  -1.00000000000000000000000000000000000      
                   32                   64                   64  -1.00000000000000000000000000000000000      
                   33                    5                    5  -1.00000000000000000000000000000000000      
                   34                    6                    6  -1.00000000000000000000000000000000000      
                   35                    7                    7  -1.00000000000000000000000000000000000      
                   36                    8                    8  -1.00000000000000000000000000000000000      
                   41                   13                   13  -1.00000000000000000000000000000000000      
                   42                   14                   14  -1.00000000000000000000000000000000000      
                   43                   15                   15  -1.00000000000000000000000000000000000      
                   44                   16                   16  -1.00000000000000000000000000000000000      
                   49                   21                   21  -1.00000000000000000000000000000000000      
                   50                   22                   22  -1.00000000000000000000000000000000000      
                   51                   23                   23  -1.00000000000000000000000000000000000      
                   52                   24                   24  -1.00000000000000000000000000000000000      
                   57                   29                   29  -1.00000000000000000000000000000000000      
                   58                   30                   30  -1.00000000000000000000000000000000000      
                   59                   31                   31  -1.00000000000000000000000000000000000      
                   60                   32                   32  -1.00000000000000000000000000000000000      
                   37                    1                    1  -1.00000000000000000000000000000000000      
                   38                    2                    2  -1.00000000000000000000000000000000000      
                   39                    3                    3  -1.00000000000000000000000000000000000      
                   40                    4                    4  -1.00000000000000000000000000000000000      
                   45                    9                    9  -1.00000000000000000000000000000000000      
                   46                   10                   10  -1.00000000000000000000000000000000000      
                   47                   11                   11  -1.00000000000000000000000000000000000      
                   48                   12                   12  -1.00000000000000000000000000000000000      
                   53                   17                   17  -1.00000000000000000000000000000000000      
                   54                   18                   18  -1.00000000000000000000000000000000000      
                   55                   19                   19  -1.00000000000000000000000000000000000      
                   56                   20                   20  -1.00000000000000000000000000000000000      
                   61                   25                   25  -1.00000000000000000000000000000000000      
                   62                   26                   26  -1.00000000000000000000000000000000000      
                   63                   27                   27  -1.00000000000000000000000000000000000      
                   64                   28                   28  -1.00000000000000000000000000000000000      
 ***** O atoms along axis *****
                    1                   17                   17  -1.00000000000000000000000000000000000      
                    2                   18                   18  -1.00000000000000000000000000000000000      
                    3                   19                   19  -1.00000000000000000000000000000000000      
                    4                   20                   20  -1.00000000000000000000000000000000000      
                    5                   21                   21  -1.00000000000000000000000000000000000      
                    6                   22                   22  -1.00000000000000000000000000000000000      
                    7                   23                   23  -1.00000000000000000000000000000000000      
                    8                   24                   24  -1.00000000000000000000000000000000000      
                    9                   25                   25  -1.00000000000000000000000000000000000      
                   10                   26                   26  -1.00000000000000000000000000000000000      
                   11                   27                   27  -1.00000000000000000000000000000000000      
                   12                   28                   28  -1.00000000000000000000000000000000000      
                   13                   29                   29  -1.00000000000000000000000000000000000      
                   14                   30                   30  -1.00000000000000000000000000000000000      
                   15                   31                   31  -1.00000000000000000000000000000000000      
                   16                   32                   32  -1.00000000000000000000000000000000000      
                   17                    3                    3  -1.00000000000000000000000000000000000      
                   18                    4                    4  -1.00000000000000000000000000000000000      
                   21                    7                    7  -1.00000000000000000000000000000000000      
                   22                    8                    8  -1.00000000000000000000000000000000000      
                   25                   11                   11  -1.00000000000000000000000000000000000      
                   26                   12                   12  -1.00000000000000000000000000000000000      
                   29                   15                   15  -1.00000000000000000000000000000000000      
                   30                   16                   16  -1.00000000000000000000000000000000000      
                   33                   49                   49  -1.00000000000000000000000000000000000      
                   34                   50                   50  -1.00000000000000000000000000000000000      
                   35                   51                   51  -1.00000000000000000000000000000000000      
                   36                   52                   52  -1.00000000000000000000000000000000000      
                   37                   53                   53  -1.00000000000000000000000000000000000      
                   38                   54                   54  -1.00000000000000000000000000000000000      
                   39                   55                   55  -1.00000000000000000000000000000000000      
                   40                   56                   56  -1.00000000000000000000000000000000000      
                   41                   57                   57  -1.00000000000000000000000000000000000      
                   42                   58                   58  -1.00000000000000000000000000000000000      
                   43                   59                   59  -1.00000000000000000000000000000000000      
                   44                   60                   60  -1.00000000000000000000000000000000000      
                   45                   61                   61  -1.00000000000000000000000000000000000      
                   46                   62                   62  -1.00000000000000000000000000000000000      
