 xy plane atoms Angle info
                    2                   17                   19  -1.00000000000000000000000000000000019      
                    6                   21                   23  -1.00000000000000000000000000000000019      
                   10                   25                   27  -1.00000000000000000000000000000000019      
                   14                   29                   31  -1.00000000000000000000000000000000019      
                   17                    1                    1  -1.00000000000000000000000000000000019      
                   18                    2                    2  -1.00000000000000000000000000000000019      
                   19                    3                    3  -1.00000000000000000000000000000000019      
                   20                    4                    4  -1.00000000000000000000000000000000019      
                   21                    5                    5  -1.00000000000000000000000000000000019      
                   22                    6                    6  -1.00000000000000000000000000000000019      
                   23                    7                    7  -1.00000000000000000000000000000000019      
                   24                    8                    8  -1.00000000000000000000000000000000019      
                   25                    9                    9  -1.00000000000000000000000000000000019      
                   26                   10                   10  -1.00000000000000000000000000000000019      
                   27                   11                   11  -1.00000000000000000000000000000000019      
                   28                   12                   12  -1.00000000000000000000000000000000019      
                   29                   13                   13  -1.00000000000000000000000000000000019      
                   30                   14                   14  -1.00000000000000000000000000000000019      
                   31                   15                   15  -1.00000000000000000000000000000000019      
                   32                   16                   16  -1.00000000000000000000000000000000019      
                    1                   18                   20  -1.00000000000000000000000000000000019      
                    3                   20                   18  -1.00000000000000000000000000000000019      
                    4                   19                   17  -1.00000000000000000000000000000000019      
                    5                   22                   24  -1.00000000000000000000000000000000019      
                    7                   24                   22  -1.00000000000000000000000000000000019      
                    8                   23                   21  -1.00000000000000000000000000000000019      
                    9                   26                   28  -1.00000000000000000000000000000000019      
                   11                   28                   26  -1.00000000000000000000000000000000019      
                   12                   27                   25  -1.00000000000000000000000000000000019      
                   13                   30                   32  -1.00000000000000000000000000000000019      
                   15                   32                   30  -1.00000000000000000000000000000000019      
                   16                   31                   29  -1.00000000000000000000000000000000019      
 xy plane atoms Angle info
                    1                    1                   19  -1.00000000000000000000000000000000019      
                    2                    2                   20  -1.00000000000000000000000000000000019      
                    5                    5                   23  -1.00000000000000000000000000000000019      
                    6                    6                   24  -1.00000000000000000000000000000000019      
                    9                    9                   27  -1.00000000000000000000000000000000019      
                   10                   10                   28  -1.00000000000000000000000000000000019      
                   13                   13                   31  -1.00000000000000000000000000000000019      
                   14                   14                   32  -1.00000000000000000000000000000000019      
                   17                   17                    2  -1.00000000000000000000000000000000019      
                   19                   19                    4  -1.00000000000000000000000000000000019      
                   21                   21                    6  -1.00000000000000000000000000000000019      
                   23                   23                    8  -1.00000000000000000000000000000000019      
                   25                   25                   10  -1.00000000000000000000000000000000019      
                   27                   27                   12  -1.00000000000000000000000000000000019      
                   29                   29                   14  -1.00000000000000000000000000000000019      
                   31                   31                   16  -1.00000000000000000000000000000000019      
                    3                    3                   17  -1.00000000000000000000000000000000019      
                    4                    4                   18  -1.00000000000000000000000000000000019      
                    7                    7                   21  -1.00000000000000000000000000000000019      
                    8                    8                   22  -1.00000000000000000000000000000000019      
                   11                   11                   25  -1.00000000000000000000000000000000019      
                   12                   12                   26  -1.00000000000000000000000000000000019      
                   15                   15                   29  -1.00000000000000000000000000000000019      
                   16                   16                   30  -1.00000000000000000000000000000000019      
                   18                   18                    1  -1.00000000000000000000000000000000019      
                   20                   20                    3  -1.00000000000000000000000000000000019      
                   22                   22                    5  -1.00000000000000000000000000000000019      
                   24                   24                    7  -1.00000000000000000000000000000000019      
                   26                   26                    9  -1.00000000000000000000000000000000019      
                   28                   28                   11  -1.00000000000000000000000000000000019      
                   30                   30                   13  -1.00000000000000000000000000000000019      
                   32                   32                   15  -1.00000000000000000000000000000000019      
